17,17,17
1590
1,1,5,1
1,1,7,1
1,1,9,1
1,1,11,1
1,3,5,1
1,3,11,1
1,4,13,1
1,5,1,1
1,5,3,1
1,5,15,1
1,7,1,1
1,7,14,1
1,7,16,1
1,9,1,1
1,9,14,1
1,9,16,1
1,11,1,1
1,11,3,1
1,12,12,1
1,13,4,1
1,14,6,1
1,14,8,1
1,15,15,1
1,16,5,1
1,16,7,1
1,16,9,1
2,2,1,1
2,2,2,2
2,2,3,1
2,2,14,1
2,2,15,2
2,2,16,1
2,12,14,1
2,12,15,2
2,12,16,1
2,15,1,1
2,15,2,2
2,15,3,1
2,15,11,1
2,15,12,2
2,15,13,1
3,1,5,1
3,1,11,1
3,5,1,1
3,5,15,1
3,7,16,1
3,9,16,1
3,11,1,1
3,15,5,1
3,16,7,1
3,16,9,1
4,1,13,1
4,13,1,1
5,1,1,1
5,1,3,1
5,1,15,1
5,3,1,1
5,3,15,1
5,5,16,1
5,11,16,1
5,15,1,1
5,15,3,1
5,15,14,1
5,15,15,2
5,15,16,1
5,16,5,1
5,16,11,1
7,1,1,1
7,1,14,1
7,1,16,1
7,3,16,1
7,12,16,1
7,14,1,1
7,16,1,1
7,16,3,1
7,16,12,1
8,2,7,1
8,2,8,2
8,2,9,1
8,3,8,3
8,4,8,4
8,5,8,5
8,6,8,6
8,7,8,7
8,8,8,8
8,9,8,1
8,11,8,1
8,13,8,1
8,14,15,1
8,15,8,1
8,16,14,1
8,16,16,1
9,1,1,1
9,1,14,1
9,1,16,1
9,3,16,1
9,12,16,1
9,14,1,1
9,16,1,1
9,16,3,1
9,16,12,1
11,1,1,1
11,1,3,1
11,3,1,1
11,5,16,1
11,11,16,1
11,15,14,1
11,15,15,2
11,15,16,1
11,16,5,1
11,16,11,1
12,1,12,1
12,2,14,1
12,2,15,2
12,2,16,1
12,7,16,1
12,9,16,1
12,12,1,1
12,15,1,1
12,15,2,2
12,15,3,1
12,16,7,1
12,16,9,1
13,1,4,1
13,4,1,1
13,13,14,1
13,13,16,1
13,16,13,1
14,1,6,1
14,1,8,1
14,6,1,1
14,8,1,1
14,8,15,1
14,15,8,1
15,1,15,1
15,2,1,1
15,2,2,2
15,2,3,1
15,2,11,1
15,2,12,2
15,2,13,1
15,3,5,1
15,5,3,1
15,5,14,1
15,5,15,2
15,5,16,1
15,11,14,1
15,11,15,2
15,11,16,1
15,12,1,1
15,12,2,2
15,12,3,1
15,12,12,1
15,15,1,1
15,15,4,1
15,15,5,2
15,15,6,1
15,15,10,1
15,15,11,2
15,15,12,1
15,15,14,1
15,15,15,2
15,15,16,1
16,1,5,1
16,1,7,1
16,1,9,1
16,3,7,1
16,3,9,1
16,5,1,1
16,5,5,1
16,5,11,1
16,7,1,1
16,7,3,1
16,7,12,1
16,8,14,1
16,8,16,1
16,9,3,1
16,9,12,1
16,11,5,1
16,12,7,1
16,12,9,1
16,14,8,1
16,16,8,1
